timestamp,date,day_index,day_type,phase,HR_bpm,HRV_ms,accel_g,accel_label,skin_temp_C,SpO2_pct,fatigue_factor
2024-01-01 00:00:00,2024-01-01,1,training,sleep,58.8,58.1,0.033,very_low,34.2,98.2,1.042
2024-01-01 00:10:00,2024-01-01,1,training,sleep,53.8,52.1,0.004,very_low,33.62,97.9,1.042
2024-01-01 00:20:00,2024-01-01,1,training,sleep,50.7,68.4,0.018,very_low,33.59,97.6,1.042
2024-01-01 00:30:00,2024-01-01,1,training,sleep,52.6,57.4,0.039,very_low,33.61,96.1,1.042
2024-01-01 00:40:00,2024-01-01,1,training,sleep,59.3,62.3,0.016,very_low,33.65,97.0,1.042
2024-01-01 00:50:00,2024-01-01,1,training,sleep,56.8,62.2,0.039,very_low,33.59,95.1,1.042
2024-01-01 01:00:00,2024-01-01,1,training,sleep,55.1,57.6,0.032,very_low,33.76,95.3,1.042
2024-01-01 01:10:00,2024-01-01,1,training,sleep,53.2,71.3,0.014,very_low,34.18,97.8,1.042
2024-01-01 01:20:00,2024-01-01,1,training,sleep,62.1,70.2,0.009,very_low,33.72,96.5,1.042
2024-01-01 01:30:00,2024-01-01,1,training,sleep,58.3,48.9,0.041,very_low,33.69,95.4,1.042
2024-01-01 01:40:00,2024-01-01,1,training,sleep,60.3,63.2,0.017,very_low,33.77,96.1,1.042
2024-01-01 01:50:00,2024-01-01,1,training,sleep,47.1,63.5,0.014,very_low,33.71,98.2,1.042
2024-01-01 02:00:00,2024-01-01,1,training,sleep,52.2,57.4,0.012,very_low,33.94,97.5,1.042
2024-01-01 02:10:00,2024-01-01,1,training,sleep,58.2,63.6,0.018,very_low,34.1,96.1,1.042
2024-01-01 02:20:00,2024-01-01,1,training,sleep,53.9,54.4,0.009,very_low,33.9,95.6,1.042
2024-01-01 02:30:00,2024-01-01,1,training,sleep,51.6,70.1,0.035,very_low,33.55,98.2,1.042
2024-01-01 02:40:00,2024-01-01,1,training,sleep,54.8,64.2,0.044,very_low,33.87,98.1,1.042
2024-01-01 02:50:00,2024-01-01,1,training,sleep,56.2,61.2,0.045,very_low,34.1,98.1,1.042
2024-01-01 03:00:00,2024-01-01,1,training,sleep,57.2,54.2,0.039,very_low,33.59,97.4,1.042
2024-01-01 03:10:00,2024-01-01,1,training,sleep,49.9,65.3,0.033,very_low,33.98,97.3,1.042
2024-01-01 03:20:00,2024-01-01,1,training,sleep,55.2,60.0,0.042,very_low,33.74,97.2,1.042
2024-01-01 03:30:00,2024-01-01,1,training,sleep,54.8,61.7,0.04,very_low,34.02,96.0,1.042
2024-01-01 03:40:00,2024-01-01,1,training,sleep,56.5,72.4,0.001,very_low,34.16,96.3,1.042
2024-01-01 03:50:00,2024-01-01,1,training,sleep,54.9,57.1,0.043,very_low,34.0,97.0,1.042
2024-01-01 04:00:00,2024-01-01,1,training,sleep,58.6,67.0,0.005,very_low,33.95,96.0,1.042
2024-01-01 04:10:00,2024-01-01,1,training,sleep,61.2,69.4,0.04,very_low,33.91,97.8,1.042
